"","river","timestep","sa","FCO2_ulset","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2012_low","FCO2_raymond2012_high","FCO2_raymond2013","FCO2_raymond2013_low","FCO2_raymond2013_high","FCO2_Lauerwald2015","FCO2_Lauerwald2015_low","FCO2_Lauerwald2015_high"
"1","OhioSection3",1,70340015.7380138,1.26821845437086,0.334418345243031,0.307501687647646,0.361312073674061,0.981313236794361,0.470258211250662,0.605951380590757,1.19407577427089,0.802149453289736,0.963244877211742,1.6482698869435,0.802149453289736,0.963244877211742
"2","OhioSection3",2,70340015.7380138,1.22269447453927,0.943251336827767,0.814411007024845,1.09054958104576,0.962600448179336,0.974161473249711,1.23989310808579,1.26804184575599,1.56967351749281,1.861834111908,1.58269041820278,1.56967351749281,1.861834111908
"3","OhioSection3",3,70340015.7380138,2.71130845651088,1.97347961409025,1.73660581636871,2.2464728593974,2.13812925683411,0.740337994935302,0.956040973620077,2.55821898985527,1.2756126237704,1.53512747071713,3.60601262114782,1.2756126237704,1.53512747071713
"4","OhioSection3",4,70340015.7380138,1.7903364245168,1.50420778256252,1.30556828649456,1.71381962878686,1.39403294081273,0.581000055199605,0.749459804160239,1.68178631413256,0.996025991404657,1.19735180642503,2.34669908763504,0.996025991404657,1.19735180642503
"5","OhioSection3",5,70340015.7380138,1.33642661908787,1.27796904546036,1.11856399287801,1.45202851627789,1.04829728049572,2.49006689517653,3.14314389830106,1.46195140180889,3.86133395199263,4.54222782110169,1.69802020615608,3.86133395199263,4.54222782110169
"6","OhioSection3",6,70340015.7380138,2.01871139798154,1.85339174457184,1.62471151247375,2.09986604767449,1.59424420284152,0.933341836710334,1.19550283833262,2.01085518921982,1.54870754787595,1.84866209111188,2.65136779525342,1.54870754787595,1.84866209111188
"7","OhioSection3",7,70340015.7380138,3.00557646244353,2.85021939939533,2.47628573932378,3.26932209616104,2.35950389447226,0.844197750334193,1.09114819633026,2.80863320301385,1.46066624965874,1.75942040829295,3.98557154069923,1.46066624965874,1.75942040829295
"8","OhioSection3",8,70340015.7380138,2.68396164369634,3.41852782472553,2.96362268855576,3.910856122158,2.07508360601779,1.32249599380164,1.69682814393564,2.59939552682061,2.21167536461642,2.64451403120057,3.45794565261281,2.21167536461642,2.64451403120057
"9","OhioSection3",9,70340015.7380138,3.61700532744278,4.06582429547009,3.5612187636939,4.63576263184779,2.85523530849996,2.66315017478846,3.39163651913291,3.75785463785428,4.30307933377816,5.10707158968132,4.69610095571692,4.30307933377816,5.10707158968132
"10","OhioSection3",10,70340015.7380138,1.98785547158446,2.21069531980058,1.92085554078045,2.53131395884823,1.52632794819763,5.99952005277313,7.54152308773062,2.17838357771156,9.12577069963027,10.690340063943,2.45848409932325,9.12577069963027,10.690340063943
"11","OhioSection3",11,70340015.7380138,1.46239929456259,2.11237582767422,1.81722506042426,2.44398704484825,1.05152590245313,9.86621084696416,12.331290378582,1.58856367838155,14.6155514708468,17.0237261871707,1.66933285771263,14.6155514708468,17.0237261871707
"12","OhioSection3",12,70340015.7380138,3.30546141224167,4.66837196309696,4.06550861438545,5.36974275482319,2.61279020357038,2.39297059290468,3.04868588419717,3.41663066774498,3.87317880588357,4.59855180030896,4.30391570290844,3.87317880588357,4.59855180030896
"13","OhioSection3",13,70340015.7380138,3.50399320322209,4.43374623397529,3.83830594076886,5.08656218200599,2.73667288915041,1.25353731291642,1.61243843282249,3.36712241468514,2.12110472799254,2.54266019539844,4.58208096178625,2.12110472799254,2.54266019539844
"14","OhioSection3",14,70340015.7380138,1.95284815149329,2.7576310148599,2.37063025557599,3.18970397698984,1.4376528952049,9.96804241475862,12.486352121398,2.12401887606688,14.9191946492673,17.4160530949168,2.29546556258383,14.9191946492673,17.4160530949168
"15","OhioSection3",15,70340015.7380138,3.14721794386461,4.50310210176176,3.8969153965007,5.19935755330608,2.44175727824791,6.59375466665364,8.31804510777526,3.44930024911257,10.1962504182894,11.9870023395051,3.94234361483429,10.1962504182894,11.9870023395051
"16","OhioSection3",16,70340015.7380138,1.67986261899587,2.63746033769463,2.25502875415946,3.0560202331193,1.2332417262629,12.7325073701037,15.7941770768733,1.9470890114877,18.2148466704216,21.0565590688245,1.93453936219519,18.2148466704216,21.0565590688245
"17","OhioSection3",17,70340015.7380138,0.993024493368756,1.98795584598649,1.71159151733944,2.32042703858987,0.645138479000196,17.6404737083034,21.6818699321847,1.08822738620997,24.1845349765504,27.7015543717699,0.995375610545298,24.1845349765504,27.7015543717699
"18","OhioSection3",18,70340015.7380138,0.667778530988648,1.51257865296146,1.30092035088821,1.75061867348398,0.444930670112752,10.4347658896477,12.8465825757554,0.744535607121283,14.4158557305027,16.5397603750439,0.687650168835069,14.4158557305027,16.5397603750439
"19","OhioSection3",19,70340015.7380138,0.724448360628679,1.30954047895441,1.13253999386132,1.50017359267894,0.523359459832469,7.4870823374702,9.23594671862888,0.846651420342634,10.4391074972148,12.0009175434436,0.8156715235005,10.4391074972148,12.0009175434436
"20","OhioSection3",20,70340015.7380138,2.00506294396689,2.27505265392129,1.97558473407377,2.62414875404224,1.53079027635588,2.56453542203347,3.25615624679269,2.07293239619098,4.08620366302932,4.8351104673708,2.50051465876503,4.08620366302932,4.8351104673708
